Company,Sector,SubSector,Industry,Ticker,FSS Score,FSS Weekly Change,Total Articles,Negative Articles,Z-Score,Receivables to Revenue,Debt to EBITDA,_ebitda,_totalDebt,Quick Ratio,S&P Issuer Credit Rating,Market Capitalization,Current Open Price,52-Week High Price,52-Week Low Price
REE Automotive Ltd.,Software & Technology,Electronics,Automobile Electronics,REE,0.2350566666666666,0.5577777777777778,62.0,45.16,75851.171,25.306,-0.4314,-75.947,32.766,2.19526,,13549181.496,0.4743,0.4743,0.4234
Easylink Solutions Corp.,Software & Technology,Hardware & Semiconductors,Computer Storage Devices,ESYL,,,,,55263282.2498,,,,0.34033,0.10237,,31346267.1312,0.0093,0.0093,0.0056
Innoviz Technologies Ltd.,Manufacturing,Automotive,Autonomous Driving Technologies,INVZ,0.2005155555555555,-3.76,81.0,51.85,1941841.5335,0.2535,-0.0,-94.132,0.0,2.90652,,171919181.7854,0.78,0.83,0.7553
"Charging Robotics, Inc.",Manufacturing,Automotive,Motor Vehicle Parts,CHEV,0.2114066666666666,-1.3655555555555554,21.0,42.86,15709004.8934,,-0.5315,-0.777,0.413,0.28368,,24741754.4,2.33,2.33,2.0
Duke Robotics Corp.,Manufacturing,Aerospace & Defense,Drones,DUKR,0.3913522222222222,-2.692222222222222,31.0,64.52,16281641.7368,0.3426,-0.3233,-0.996,0.322,3.92754,,21057611.85,8.61,9.5,8.2
"Monkey Rock Group, Inc.",Media & Entertainment,Sports,Performing Arts/Sports Promotion,MKRO,,,,,2887648.4328,,,,1.02081,0.00345,,6980124.96,0.02,0.02,0.02
TOYO Co. Ltd.,Energy,Renewables,Solar Panels,TOYO,0.0993322222222222,-1.8533333333333335,59.0,30.51,1642044.0469,0.106,1.1568,32.09518,37.12646,0.28316,,494144058.4,12.09,13.5,11.9055
Freedom Holding Corp.,Financial Services,Securities & Trading,Security Brokering/Dealing,FRHC,0.05088,-0.7911111111111111,169.0,26.04,598249.567,1.6709,3.1367,601.911,1887.994,,,8674370241.6,139.93,142.84,137.9
Technology & Telecommunication Acquisition Corp.,Financial Services,Holding Companies,Shell Company,TETEF,0.3730566666666666,-6.117777777777778,5.0,80.0,2355238.4233,,-3.6961,-1.13151,4.18221,0.00429,,41293257.28,12.08,12.08,12.08
ProtoSource Corp.,Software & Technology,Digital Services,Online Service Providers,PSCO,,,,,1060946.6774,0.1075,,,2.494,0.09099,,10707073.902,0.021,0.021,0.021
HWGG Entertainment Ltd.,Hospitality,Travel & Tourism,Tourism,HWGG,,,,,2481324.1686,2.458,-0.0,-1.07896,0.0,0.72946,,19728217.6,0.8,0.8,0.8
Black Titan Corp.,Healthcare,Pharmaceuticals,Applications Software,BTTC,0.2021722222222222,-1.2955555555555556,80.0,45.0,4610737.3094,0.1368,3.3963,0.11892,0.40389,1.44793,,12085191.3,1.32,1.37,1.3
"Red Cat Holdings, Inc.",Software & Technology,Software,Software,RCAT,0.2213711111111111,-8.976666666666667,457.0,66.96,29754385.4101,0.6422,-0.0757,-64.332,4.868,13.23885,,1380851561.25,10.23,11.67,9.97
"Aeries Technology, Inc.",Software & Technology,IT Services,IT Consulting,AERT,0.3274344444444445,-0.7400000000000001,170.0,58.24,471587.9022,0.2089,-0.4367,-17.932,7.831,0.63199,,35869821.8248,0.65,0.7477,0.645174
Helport AI Ltd.,Software & Technology,AI & Emerging Tech,Artificial Intelligence Technologies,HPAI,0.2937466666666666,-4.072222222222222,20.0,50.0,2018987.4336,0.7207,0.4233,11.5494,4.88907,1.75228,,47537329.36,1.28,1.56,1.22
"Currenc Group, Inc.",Software & Technology,Digital Services,Financial Technology,CURR,0.2198544444444444,-2.341111111111111,97.0,58.76,1772374.1368,0.1409,-0.9127,-24.27876,22.15847,0.60126,,504145663.65,4.45,4.6,4.23
SAIHEAT Ltd.,Software & Technology,AI & Emerging Tech,Blockchain Technology,SAIH,0.1383122222222222,-9.852222222222222,8.0,37.5,3138920.8573,0.1669,-0.3382,-6.254,2.115,2.74932,,21805084.0,11.3,11.9,11.15
"BitFuFu, Inc.",Software & Technology,AI & Emerging Tech,Virtual Currencies/Cryptocurrencies,FUFU,0.1628277777777778,1.97,76.0,42.11,1087201.3043,0.1222,1.0759,52.406,56.386,4.14792,,389969419.32,2.29,2.37,2.217
"Neonode, Inc.",Software & Technology,Networking & Connectivity,LAN/WAN Hardware,NEON,0.3266455555555555,0.3566666666666666,21.0,52.38,9088205.1232,0.3073,-0.0003,-6.131,0.002,10.91667,,29370113.5,1.67,1.765,1.63
Alcon AG,Consumer Goods,Recreation & Electronics,Eyeglasses/Spectacles,ALC,0.3374188888888889,0.3788888888888889,371.0,61.99,2031327.5329,0.2232,1.9372,2705.0,5240.0,1.33093,,32233734567.9012,62.62,63.13,61.835
"Advanced Biomed, Inc.",Healthcare,Biotech & Research,Biotechnology Services,ADVB,0.2356788888888888,-5.193333333333333,28.0,50.0,1619025.3801,,-0.0,-2.79621,0.0,2.08802,,8189025.36,5.86,6.2003,5.01
YD Bio Ltd.,Healthcare,Biotech & Research,Biotechnology Services,YDES,0.1893277777777778,-0.3044444444444443,78.0,44.87,823668398.1142,0.5149,-0.0274,-1.35768,0.03725,13.0409,,376114447.26,5.15,5.31,5.11
"Yummies, Inc.",Financial Services,Holding Companies,Shell Company,YUMM,,,,,14504073210.0168,,-0.0,-0.06308,0.0,0.0129,,337219875.0,0.75,0.75,0.75
Oakworth Capital  Inc.,Financial Services,Banking,Commercial Banking,OAKC,0.1184233333333333,-1.452222222222222,35.0,48.57,,,,,,,,184486590.0,37.4,37.4,37.35
Elcom International  Inc.,Software & Technology,Software,Enterprise Management Software,ELCO,,,,,2091125.6238,0.3208,,,1.097,0.65171,,17569300.0,35.0,35.1,35.0
Zrcn Inc.,Software & Technology,Hardware & Semiconductors,Semiconductors,ZRCN,0.1602522222222222,-6.565555555555555,10.0,50.0,2140149.109,0.2743,5.1078,1.71654,8.76778,1.00322,,72690961.0,7.0,7.0,7.0
Bankflorida Bancorp  Inc.,Financial Services,Banking,Central Banking,BKFL,,,,,88925.0631,,7.619,1.05,8.0,,,49899409.08,15.65,15.69,15.634
Ai Pony Inc,Manufacturing,Automotive,Autonomous Driving Technologies,PONY,0.1071488888888888,-1.848888888888889,564.0,34.93,23296746.1406,0.4915,-0.0061,-277.162,1.688,11.77414,,3871104511.10061,9.09,9.25,8.88
Heron Lake Bioenergy  Llc,Energy,Renewables,Biofuels,HLBYL,0.5461,0.0,2.0,100.0,390243.5302,0.0213,-1.3652,-9.14169,12.48065,0.29382,,19483026.75,0.25,0.25,0.25
Beach Cities Commercial Bank,Financial Services,Banking,Commercial Banking,BCCB,0.1094933333333333,-28.782222222222224,11.0,54.55,118239.9205,,-0.0,-4.41338,0.0,,,22771903.749,8.89,8.89,8.8662
Ocugen Opco  Inc.,Software & Technology,Other Software & Technology,Biotechnology Services,OCGN,0.0770144444444444,-1.0544444444444443,184.0,29.89,5398614.2563,,-0.4757,-60.527,28.792,1.05629,,501012346.88,1.53,1.6,1.46
Steele Bancorp  Inc.,Financial Services,Banking,Banking,STLE,0.2273666666666667,8.23,15.0,60.0,,,,,,,,135691680.85,40.0,40.0,39.85
William H. Sadlier  Inc.,Media & Entertainment,Publishing,Publishing,SADL,0.0165222222222222,6.4944444444444445,2.0,0.0,2406787.7785,0.1099,,,0.3,1.20333,,15880741.5,19.5,19.5,19.5
Ci&T  Inc.,Software & Technology,IT Services,Computer Services,CINT,0.2267966666666666,-5.546666666666667,74.0,51.35,1277372.6948,0.2894,1.5758,83.086,130.931,1.33497,,514270114.47,3.85,4.05,3.82
Lumbee Guaranty Bank,Financial Services,Banking,Commercial Banking,LUMB,0.0305355555555555,-8.813333333333334,9.0,22.22,53163.4049,,,,5.32618,,,42066364.48,13.78,13.78,13.06
Baker Global Asset Management Inc.,Financial Services,Banking,Private Banking/Wealth Management,BAKR,0.2388333333333333,-2.776666666666667,2.0,50.0,1937382.1164,0.2454,0.1728,2.95223,0.51008,,,10912720.0,7.0,7.0,7.0
Liberty Northwest Bancorp  Inc.,Financial Services,Banking,Commercial Banking,LBNW,,,,,36111.1073,,17.964,1.473,26.461,,,10397148.39,6.21,6.21,6.21
Hg Holdings  Inc.,Manufacturing,Other Manufacturing,Wooden Furniture,STLY,0.2197855555555555,-0.1399999999999999,10.0,60.0,1300943.1783,,-0.0,-1.528,0.0,,,22142060.946,4.25,4.3356,4.25
Solv Energy  Llc,Energy,Renewables,Solar Energy,MWH,0.1031355555555555,-0.8011111111111113,31.0,32.26,4551267.9598,0.1967,8.4545,50.499,426.946,0.83416,,9077646245.88,43.39,44.99,42.3
Crescent Biopharma  Inc.,Software & Technology,Other Software & Technology,Biotechnology Services,CBIO,0.1825555555555555,-0.8533333333333333,112.0,40.18,8218101.7314,1.7778,-0.0,-145.342,0.0,6.56063,,510632236.2,18.72,19.81,17.68
Santana Equestrian Private Financial  Llc,Financial Services,Investment Management,Investment Advice/Research Services,SEQP,0.2280746666666666,2.3266666666666667,1.0,100.0,2023387.26,,-0.019,-2.77441,0.05285,17.75123,,6509475.544,0.194,0.194,0.0988
"Alterola Biotech, Inc.",Healthcare,Pharmaceuticals,Drug Delivery Systems,ABTI,0.0194,-198.1277777777778,2.0,0.0,3336952.3354,,-0.0691,-2.10832,0.1456,0.00199,,7443460.2918,0.0051,0.0051,0.0051
Janus Henderson Group Plc,Financial Services,Investment Management,Asset Management,JHG,0.1807933333333333,-2.2622222222222224,619.0,50.24,1502757.1503,0.2594,0.3873,1021.2,395.5,4.17995,,7961086665.36,51.7,51.745,51.67
Rezolve AI Plc,Software & Technology,AI & Emerging Tech,Artificial Intelligence Technologies,RZLV,0.2557188888888889,-0.45,290.0,50.0,8790710.6075,0.6958,-0.2511,-138.29443,34.72683,0.22459,,914811036.64,2.42,2.74,2.41
Intuitive Machines Inc,Manufacturing,Aerospace & Defense,Aerospace Products/Parts,LUNR,0.1007566666666666,-2.0211111111111113,251.0,34.66,3104101.7261,0.348,-0.002,-50.493,0.1,2.96629,,7029120189.56,28.95,33.635,28.35
NAPC Defense Inc,Media & Entertainment,Advertising & Marketing,Digital Marketing Services,BLIS,0.3620355555555555,-5.321111111111111,8.0,75.0,2869126.9867,,-1.2961,-0.72967,0.9457,0.01414,,5564637.008,0.016,0.016,0.0139
CECO Environmental Corp.,Manufacturing,Instruments & Electronics,Environmental Control Systems,CECO,0.13521,1.74,173.0,31.79,3044201.644,0.2233,2.7126,78.314,212.438,0.78662,,2923652026.5,82.0,84.275,81.37
MDB Capital Holdings LLC,Software & Technology,Digital Services,Financial Technology,MDBH,0.3555244444444444,-3.2655555555555553,62.0,56.45,12592648.8383,0.027,-0.0,-28.2023,0.0,,,38058987.74,3.695,3.695,3.695
"Oncotelic Therapeutics, Inc.",Healthcare,Biotech & Research,Biological Therapy,OTLC,0.2536622222222222,-0.42,207.0,57.0,571340.9265,,-34.8078,-0.37601,13.08808,0.00699,,17545782.764,0.0373,0.0395,0.036
"Vivani Medical, Inc.",Healthcare,Medical Devices,Orthopedic/Prosthetic Implants/Devices,VANI,0.1987855555555555,-1.2655555555555555,91.0,39.56,2592334.2988,,-0.0,-24.277,0.0,3.41497,,103482124.8,1.2,1.24,1.18
"Exelixis, Inc.",Healthcare,Biotech & Research,Genomics,EXEL,0.1712488888888889,0.8644444444444445,356.0,51.69,10974788.6668,0.1237,0.0,921.801,0.0,3.50456,,12494861175.93,48.258,50.475,48.2
